Date,SN,Symbol ,Close Price* (Rs) ,Open Price (Rs) ,High Price (Rs) ,Low Price (Rs) ,Total Traded Quantity ,Total Traded Value ,Total Trades ,LTP ,Previous Day Close Price (Rs) ,Average Traded Price (Rs) ,52 Week High (Rs) ,52 Week Low (Rs) ,MarketCapitalization (Rs) (Amt in millions) 
2024-03-04,52,GFCL,445.00,429.70,445.00,429.00,"4,104","1,770,697",16,445.00(23.7) ,421.30,431.46,530.00,375.00,"4,210.21"
2024-03-04,53,GHL,158.70,147.10,158.70,147.10,"23,093","3,620,592.3",90,158.70(14.4) ,144.30,156.78,286.00,120.00,"2,618.55"
2024-03-04,54,GILB,839.00,823.20,839.00,806.80,456,"374,675.5",14,839.00(-1) ,840.00,821.66,"1,110.70",665.10,"5,192.57"
2024-03-04,55,GLBSL,915.10,915.10,915.10,915.10,10,"9,151",1,915.10(17.9) ,897.20,915.10,"1,105.00",589.10,927.91
2024-03-04,56,GLH,228.00,213.00,228.40,212.90,"3,840","857,697",17,228.00(18.2) ,209.80,223.36,319.00,194.60,"4,104.00"
2024-03-04,57,GMFBS,873.70,856.60,873.70,856.60,"1,010","873,716",4,873.70(-0.3) ,874.00,865.07,922.00,641.00,"1,324.13"
2024-03-04,58,GMFIL,353.70,346.80,353.70,346.80,20,"7,005",2,353.70(13.7) ,340.00,350.25,427.00,277.00,"3,580.07"
2024-03-04,59,GRDBL,363.00,355.90,363.00,355.90,80,"28,543",3,363.00(14) ,349.00,356.79,393.60,235.50,"1,883.97"
2024-03-04,60,GUFL,624.00,591.70,627.30,591.70,"1,300","808,869",9,624.00(43.9) ,580.10,622.21,668.30,454.00,"5,416.28"
2024-03-04,61,GVL,455.00,412.00,455.00,412.00,"1,730","770,928.3",11,455.00(41) ,414.00,445.62,498.00,299.90,"14,218.75"
2024-03-04,62,HATHY,892.00,859.00,900.00,859.00,"6,679","5,945,019.6",55,892.00(49) ,843.00,890.11,"1,123.00",279.50,"22,960.08"
2024-03-04,63,HBL,190.50,187.00,190.50,187.00,"1,150","218,900",10,190.50(3.7) ,186.80,190.35,270.20,184.00,"41,255.85"
2024-03-04,64,HDHPC,150.00,139.20,150.10,139.20,"19,601","2,913,494",48,150.00(13.5) ,136.50,148.64,233.40,116.00,"4,200.00"
2024-03-04,65,HDL,"1,599.00","1,498.00","1,599.00","1,498.00","2,161","3,372,521",49,"1,599.00(130) ","1,469.00","1,560.63","2,510.00","1,441.00","42,733.65"
2024-03-04,66,HEI,569.00,558.00,569.00,558.00,60,"33,590",2,569.00(21.1) ,547.90,559.83,705.00,400.60,"14,225.90"
2024-03-04,67,HHL,350.00,328.00,350.00,328.00,"4,022","1,391,678",16,350.00(21.1) ,328.90,346.02,387.00,170.30,"3,832.50"
2024-03-04,68,HIDCL,179.10,172.20,179.10,172.20,132,"22,867.4",4,179.10(10.2) ,168.90,173.24,212.00,154.00,"40,791.46"
2024-03-04,69,HIDCLP,104.00,100.80,104.00,100.80,"14,000","1,426,500",11,104.00(3.6) ,100.40,101.89,118.00,96.60,10.40
2024-03-04,70,HLBSL,583.00,562.00,584.00,562.00,295,"170,014",5,583.00(23.9) ,559.10,576.32,846.00,519.10,"1,864.54"
2024-03-04,71,HLI,402.00,384.50,409.00,384.50,"11,257","4,498,575",49,402.00(25) ,377.00,399.62,574.00,340.00,"32,241.94"
2024-03-04,72,HPPL,288.00,269.70,290.90,269.70,"8,500","2,449,362",24,288.00(23.5) ,264.50,288.16,322.00,199.00,"3,068.40"
2024-03-04,73,HRL,622.00,607.50,652.00,607.50,"46,976","29,975,395.5",224,622.00(26.4) ,595.60,638.10,731.00,309.20,"64,688.00"
2024-03-04,74,HURJA,307.00,287.20,307.00,287.20,"2,360","717,025",11,307.00(25.4) ,281.60,303.82,379.20,205.00,"3,039.30"
2024-03-04,75,ICFC,501.00,473.20,501.00,473.20,"3,418","1,698,448",19,501.00(37) ,464.00,496.91,552.00,391.00,"5,929.19"
2024-03-04,76,IGI,559.00,529.00,559.00,529.00,"1,767","959,707",14,559.00(40.3) ,518.70,543.13,615.00,366.20,"16,933.98"
2024-03-04,77,IHL,362.00,341.70,368.50,341.70,"2,991","1,064,281",15,362.00(27) ,335.00,355.83,395.00,200.20,"2,172.00"
2024-03-04,78,ILBS,674.70,674.70,674.70,674.70,15,"10,120.5",1,674.70(13.2) ,661.50,674.70,827.00,537.00,"3,356.07"
2024-03-04,79,ILI,539.00,515.00,545.00,515.00,"2,760","1,480,221",29,539.00(33.5) ,505.50,536.31,640.60,444.00,"21,560.00"
2024-03-04,80,JALPA,"1,001.00","1,001.00","1,001.00","1,001.00",11,"11,011",1,"1,001.00(1.1) ",999.90,"1,001.00","2,499.90",920.00,"1,829.83"
2024-03-04,81,JBBL,304.90,288.60,306.00,288.60,"8,975","2,705,026.5",19,304.90(21.9) ,283.00,301.40,357.00,249.10,"13,402.75"
2024-03-04,82,JBLB,"1,239.30","1,239.30","1,239.30","1,239.30",10,"12,393",1,"1,239.30(24.3) ","1,215.00","1,239.30","2,031.00","1,205.00","16,699.80"
2024-03-04,83,JFL,365.10,358.00,365.10,358.00,20,"7,231",2,365.10(14.1) ,351.00,361.55,441.00,316.70,"2,520.92"
2024-03-04,84,JOSHI,384.40,356.40,384.40,355.40,"15,897","5,884,684",61,384.40(34.9) ,349.50,370.18,412.00,182.10,"1,427.66"
2024-03-04,85,JSLBB,875.10,875.10,875.10,875.10,10,"8,751",1,875.10(17.1) ,858.00,875.10,"1,290.00",785.00,"1,488.47"
2024-03-04,86,KBL,150.00,142.80,150.80,142.80,"15,840","2,331,353.5",35,150.00(10) ,140.00,147.18,195.80,138.30,"39,338.79"
2024-03-04,87,KBSH,971.20,952.20,971.20,952.20,20,"19,234",2,971.20(37.6) ,933.60,961.70,"1,210.00",479.00,"1,183.58"
2024-03-04,88,KDL,789.00,772.70,789.00,772.70,255,"198,741",3,789.00(31.4) ,757.60,779.38,"1,102.00",134.40,"4,734.00"
